createdAt,COUNT(aup.parameterId),parameterId,gpIntValue
2015-07-31,1,492,3.00000000
2015-07-31,1,493,2.00000000
2015-07-31,1,494,5.00000000
2015-07-31,1,495,2.00000000
2015-07-31,1,498,3.00000000
2015-08-14,1,492,2.00000000
2015-08-14,1,494,2.00000000
2015-08-14,1,495,4.00000000
2015-08-14,1,496,4.00000000
2015-08-14,1,497,3.00000000
2015-08-14,1,498,3.00000000
2015-08-17,1,492,1.00000000
2015-08-17,1,494,3.00000000
2015-08-17,1,495,3.00000000
2015-08-17,1,496,4.00000000
2015-08-17,1,497,3.00000000
2015-08-17,1,498,4.00000000
2015-08-18,2,492,4.50000000
2015-08-18,1,493,5.00000000
2015-08-18,1,494,1.00000000
2015-08-18,1,495,4.00000000
2015-08-18,1,496,5.00000000
2015-08-18,1,497,5.00000000
2015-08-18,1,498,4.00000000
2015-08-19,1,492,1.00000000
2015-08-19,1,494,1.00000000
2015-08-19,1,495,5.00000000
2015-08-19,1,496,5.00000000
2015-08-19,1,497,5.00000000
2015-08-19,1,498,4.00000000
2015-08-22,1,492,1.00000000
2015-08-22,1,494,1.00000000
2015-08-22,1,495,4.00000000
2015-08-22,1,496,4.00000000
2015-08-22,1,497,3.00000000
2015-08-22,1,498,4.00000000
2015-08-25,1,492,5.00000000
2015-08-25,1,493,5.00000000
2015-08-26,1,492,4.00000000
2015-08-26,1,494,1.00000000
2015-08-26,1,495,3.00000000
2015-08-26,1,496,3.00000000
2015-08-26,1,497,4.00000000
2015-08-26,1,498,4.00000000
2015-08-29,1,492,3.00000000
2015-08-29,1,494,2.00000000
2015-08-29,1,495,4.00000000
2015-08-29,1,496,4.00000000
2015-08-29,1,497,5.00000000
2015-08-29,1,498,4.00000000
2015-08-31,4,492,3.50000000
2015-08-31,2,493,4.00000000
2015-08-31,4,494,2.25000000
2015-08-31,4,495,3.25000000
2015-08-31,4,496,3.50000000
2015-08-31,4,497,3.00000000
2015-08-31,4,498,2.75000000
2015-09-01,2,492,3.50000000
2015-09-01,2,494,2.50000000
2015-09-01,2,495,2.50000000
2015-09-01,2,496,3.00000000
2015-09-01,2,497,2.50000000
2015-09-01,2,498,3.00000000
2015-09-02,4,492,3.25000000
2015-09-02,3,493,3.66666667
2015-09-02,3,494,2.33333333
2015-09-02,3,495,3.33333333
2015-09-02,3,496,3.33333333
2015-09-02,3,497,4.00000000
2015-09-02,3,498,3.33333333
2015-09-03,2,492,4.25000000
2015-09-03,2,493,2.25000000
2015-09-03,2,494,3.75000000
2015-09-03,2,495,3.25000000
2015-09-03,2,496,3.50000000
2015-09-03,2,497,2.25000000
2015-09-03,2,498,4.50000000
2015-09-04,6,492,2.50000000
2015-09-04,6,493,2.83333333
2015-09-04,6,494,2.66666667
2015-09-04,6,495,3.33333333
2015-09-04,6,496,2.83333333
2015-09-04,6,497,3.33333333
2015-09-04,6,498,3.00000000
2015-09-05,1,492,5.00000000
2015-09-05,1,493,5.00000000
2015-09-05,1,494,3.00000000
2015-09-05,1,495,5.00000000
2015-09-05,1,496,5.00000000
2015-09-05,1,497,4.00000000
2015-09-05,1,498,4.00000000
2015-09-09,6,492,3.00000000
2015-09-09,6,493,2.50000000
2015-09-09,6,494,2.66666667
2015-09-09,6,495,3.50000000
2015-09-09,6,496,3.83333333
2015-09-09,6,497,4.00000000
2015-09-09,6,498,3.33333333
2015-09-10,5,492,3.90000000
2015-09-10,5,493,2.90000000
2015-09-10,6,494,2.16666667
2015-09-10,6,495,2.66666667
2015-09-10,6,496,3.58333333
2015-09-10,6,497,4.00000000
2015-09-10,6,498,2.83333333
2015-09-11,12,492,3.45833333
2015-09-11,12,493,3.08333333
2015-09-11,11,494,2.40909091
2015-09-11,12,495,3.45833333
2015-09-11,12,496,4.12500000
2015-09-11,12,497,4.25000000
2015-09-11,12,498,3.41666667
2015-09-12,7,492,3.85714286
2015-09-12,8,493,3.56250000
2015-09-12,8,494,2.25000000
2015-09-12,8,495,3.12500000
2015-09-12,8,496,3.62500000
2015-09-12,8,497,3.75000000
2015-09-12,8,498,3.12500000
2015-09-13,5,492,3.60000000
2015-09-13,5,493,2.80000000
2015-09-13,5,494,2.60000000
2015-09-13,5,495,3.20000000
2015-09-13,5,496,3.40000000
2015-09-13,5,497,3.60000000
2015-09-13,5,498,2.80000000
2015-09-14,9,492,2.33333333
2015-09-14,10,493,2.30000000
2015-09-14,10,494,2.00000000
2015-09-14,10,495,3.50000000
2015-09-14,10,496,3.30000000
2015-09-14,10,497,3.30000000
2015-09-14,10,498,3.30000000
2015-09-15,15,492,3.03333333
2015-09-15,15,493,2.80000000
2015-09-15,15,494,2.86666667
2015-09-15,15,495,2.76666667
2015-09-15,15,496,3.50000000
2015-09-15,15,497,3.76666667
2015-09-15,15,498,2.96666667
2015-09-16,45,492,3.06666667
2015-09-16,45,493,2.69629556
2015-09-16,46,494,2.87681087
2015-09-16,45,495,2.97037111
2015-09-16,45,496,3.47777778
2015-09-16,45,497,3.36666667
2015-09-16,44,498,3.15909091
2015-09-17,31,492,3.40322581
2015-09-17,31,493,3.14516129
2015-09-17,31,494,2.98387097
2015-09-17,30,495,2.56666667
2015-09-17,31,496,3.24193548
2015-09-17,31,497,3.19354839
2015-09-17,31,498,2.75806452
2015-09-18,21,492,3.52380952
2015-09-18,22,493,3.34090909
2015-09-18,22,494,3.02272727
2015-09-18,22,495,3.02272727
2015-09-18,21,496,3.71428571
2015-09-18,22,497,3.47727273
2015-09-18,22,498,2.97727273
2015-09-19,21,492,4.07142857
2015-09-19,21,493,3.30951905
2015-09-19,21,494,2.70634762
2015-09-19,21,495,3.02380952
2015-09-19,21,496,3.53174762
2015-09-19,21,497,3.73016190
2015-09-19,20,498,2.94167000
2015-09-20,2,492,4.00000000
2015-09-20,2,493,3.00000000
2015-09-20,2,494,2.50000000
2015-09-20,2,495,4.00000000
2015-09-20,2,496,4.00000000
2015-09-20,2,497,3.50000000
2015-09-20,2,498,3.50000000
2015-09-21,5,492,1.80000000
2015-09-21,5,493,1.60000000
2015-09-21,5,494,1.60000000
2015-09-21,5,495,3.60000000
2015-09-21,5,496,3.20000000
2015-09-21,5,497,3.20000000
2015-09-21,5,498,3.60000000
2015-09-22,3,492,2.00000000
2015-09-22,3,493,2.33333333
2015-09-22,2,494,2.00000000
2015-09-22,3,495,4.00000000
2015-09-22,4,496,3.87500000
2015-09-22,5,497,3.80000000
2015-09-22,3,498,3.33333333
2015-09-23,45,492,2.66666667
2015-09-23,44,493,2.77272727
2015-09-23,45,494,3.15555556
2015-09-23,45,495,2.91111111
2015-09-23,45,496,3.48888889
2015-09-23,46,497,3.41304348
2015-09-23,45,498,3.08888889
2015-09-24,28,492,3.35714286
2015-09-24,28,493,3.21428571
2015-09-24,28,494,3.25000000
2015-09-24,28,495,2.64285714
2015-09-24,28,496,3.50000000
2015-09-24,29,497,3.51724138
2015-09-24,28,498,2.89285714
2015-09-25,17,492,3.32352941
2015-09-25,16,493,2.87500000
2015-09-25,17,494,2.94117647
2015-09-25,17,495,3.50000000
2015-09-25,16,496,3.53125000
2015-09-25,20,497,3.37500000
2015-09-25,17,498,3.26470588
2015-09-26,15,492,3.73333333
2015-09-26,15,493,3.10000000
2015-09-26,15,494,3.36666667
2015-09-26,15,495,2.96666667
2015-09-26,15,496,3.60000000
2015-09-26,18,497,3.11111111
2015-09-26,15,498,3.03333333
2015-09-27,6,492,3.16666667
2015-09-27,6,493,2.66666667
2015-09-27,6,494,2.66666667
2015-09-27,6,495,2.50000000
2015-09-27,6,496,4.00000000
2015-09-27,7,497,4.00000000
2015-09-27,6,498,3.33333333
2015-09-28,14,492,2.35714286
2015-09-28,14,493,1.82142857
2015-09-28,14,494,2.78571429
2015-09-28,14,495,2.85714286
2015-09-28,14,496,3.42857143
2015-09-28,16,497,3.25000000
2015-09-28,13,498,3.42307692
2015-09-29,8,492,3.12500000
2015-09-29,8,493,2.25000000
2015-09-29,8,494,2.75000000
2015-09-29,8,495,2.87500000
2015-09-29,8,496,3.37500000
2015-09-29,11,497,3.27272727
2015-09-29,8,498,3.37500000
2015-09-30,32,492,2.82812500
2015-09-30,32,493,2.42187500
2015-09-30,32,494,2.89062500
2015-09-30,32,495,2.67187500
2015-09-30,32,496,3.21875000
2015-09-30,36,497,2.94444444
2015-09-30,31,498,2.87096774
2015-10-01,56,492,3.06250000
2015-10-01,56,493,2.48214286
2015-10-01,56,494,2.83928571
2015-10-01,56,495,3.00000000
2015-10-01,56,496,3.64285714
2015-10-01,58,497,3.27586207
2015-10-01,56,498,3.21428571
2015-10-02,45,492,3.15555556
2015-10-02,45,493,2.77777778
2015-10-02,45,494,2.91111111
2015-10-02,45,495,3.00000000
2015-10-02,44,496,3.77272727
2015-10-02,45,497,3.15555556
2015-10-02,45,498,3.20000000
2015-10-03,3,492,4.83333333
2015-10-03,3,493,4.00000000
2015-10-03,3,494,4.00000000
2015-10-03,3,495,2.00000000
2015-10-03,3,496,3.16666667
2015-10-03,3,497,3.66666667
2015-10-03,3,498,2.33333333
2015-10-04,2,492,2.00000000
2015-10-04,2,493,1.50000000
